Coaster_Name,Location,Manufacturer,Type_Main,Year_Introduced,Latitude,Longitude,Speed_mph,Height_ft,Inversions,Gforce,Opening_Date
Switchback Railway,Coney Island,LaMarcus Adna Thompson,Wood,1884,40.574,-73.978,6,-39,0,2.9,1884-06-16
Flip Flap Railway,Sea Lion Park,Lina Beecher,Wood,1895,40.578,-73.979,153,362,1,12.0,1895-01-01
Switchback Railway (Euclid Beach Park),"Cleveland, Ohio, United States",Vekoma,Other,1896,41.58,-81.57,36,44,0,4.122628442904041,1999-01-01
Loop the Loop (Coney Island),Other,Edwin Prescott,Steel,1901,40.5745,-73.978,38,50,1,4.254851973406783,1901-01-01
Loop the Loop (Young's Pier),Other,Edwin Prescott,Steel,1901,39.3538,-74.4342,38,50,1,4.250597108523316,1901-01-01
Cannon Coaster,Coney Island,George Francis Meyer,Wood,1902,40.575,-73.98,36,47,0,4.082162223569817,1902-01-01
Leap-The-Dips,Lakemont Park,Federal Construction Company,Wood,1902,42.803650462006225,-89.41578623376313,10,-25,0,3.1933596356041534,1902-01-01
Figure Eight (Euclid Beach Park),"Cleveland, Ohio, United States",Vekoma,Other,1904,41.58,-81.57,37,48,0,4.061337106822748,1999-01-01
Drop the Dip,Coney Island,Arthur Jarvis,Other,1907,40.5744,-73.9786,37,49,0,4.043854883398961,1907-06-06
Scenic Railway (Euclid Beach Park),"Cleveland, Ohio, United States",Vekoma,Other,1907,41.58,-81.57,37,49,0,4.038352855792262,1999-01-01
Loop the Loop (Olentangy Park),Olentangy Park,Lina Beecher,Steel,1908,40.0204,-83.0143,39,54,1,4.189309021910738,1908-01-01
Aero Dips,"Cleveland, Ohio, United States",Vekoma,Other,1909,41.58,-81.57,37,50,0,4.0230300217719375,1999-01-01
Backety-Back Scenic Railway,Crystal Beach,Vekoma,Wood,1909,42.8675,-79.0592,10,-23,0,3.1287156100599596,1909-01-01
Racer (1910 roller coaster),Kennywood,Charlie Mach,Wood,1910,40.3869,-79.8619,40,57,0,4.087538206672747,1927-01-01
Derby Racer,Revere Beach,Fred W. Pearce,Wood,1911,42.42,-70.986,37,51,0,4.022245673844715,1911-01-01
The Great Scenic Railway,Luna Park Melbourne,LaMarcus Thompson,Wood,1912,41.68923209429767,-82.6869134064982,37,52,0,3.9833835913621485,1912-12-01
Zippin Pippin,Other,The Gravity Group,Wood,1912,41.64863765437994,-82.82866395816268,40,57,0,4.067758061383746,1999-01-01
Racing Coaster,"Cleveland, Ohio, United States",Vekoma,Other,1913,41.58,-81.57,37,52,0,3.9923843537312926,1999-01-01
Whirl Pool Dips,Tolchester Beach Park,Vekoma,Wood,1913,39.214,-76.231,38,52,0,3.991172951430343,1913-01-01
Green Dragon (Lake Compounce),Lake Compounce,Vekoma,Wood,1914,41.642,-72.923,38,53,0,3.9946885067880835,1914-01-01
The Wild One (roller coaster),Six Flags America,Dinn Corporation,Wood,1917,38.9092,-76.7725,53,93,0,4.432574336833742,1999-01-01
Jack Rabbit (Clementon Park),Clementon Park,Philadelphia Toboggan Coasters,Wood,1919,39.8041,-74.9844,38,55,0,3.9484212948770008,1919-01-01
Jack Rabbit (Kennywood),Kennywood,Harry C. Baker,Wood,1920,40.3867,-79.8628,45,72,0,4.140561709193193,1920-01-01
Jack Rabbit (Seabreeze),Seabreeze Amusement Park,Harry C. Baker,Wood,1920,43.2316,-77.5432,42,64,0,4.058578395260824,1920-01-01
Scenic Railway (roller coaster),Dreamland Margate,Vekoma,Wood,1920,51.3853,1.3775,35,46,0,3.963701921186548,1920-07-03
Roller Coaster (Lagoon),Lagoon Amusement Park,Vekoma,Wood,1921,40.9849,-111.8951,45,62,0,4.074331364464268,1921-07-15
Big Dipper (Blackpool Pleasure Beach),Blackpool Pleasure Beach,William Strickler,Wood,1923,53.7892,-3.0569,40,60,0,3.7,1923-08-23
Wild Cat (Hersheypark),Hersheypark,Philadelphia Toboggan Coasters,Wood,1923,40.2882,-76.6535,39,57,0,3.9173715097441217,1923-06-16
The Bobs (roller coaster),Riverview Park,Prior and Church,Wood,1924,41.9407,-87.6924,50,87,0,4.2578800430241515,1924-01-01
